 2
    0.57735 02691 89626   1.00000 00000 00000
 3 
    0.00000 00000 00000   0.88888 88888 88889
    0.77459 66692 41484   0.55555 55555 55556
 4 
    0.33998 10435 84856   0.65214 51548 62546
    0.86113 63115 94053   0.34785 48451 37453
 5 
    0.00000 00000 00000   0.56888 88888 88889
    0.53846 93101 05684   0.47862 86704 99366
    0.90617 98459 38664   0.23692 68850 56189
 6 
    0.23861 91860 83197   0.46791 39345 72691
    0.66120 93864 66265   0.36076 15730 48138
    0.93246 95142 03152   0.17132 44923 79171
 7 
    0.00000 00000 00000   0.41795 91836 73469
    0.40584 51513 77398   0.38183 00505 05118
    0.74153 11855 99395   0.27970 53914 89277
    0.94910 79123 42759   0.12948 49661 68868
 8 
    0.18343 46424 95650   0.36268 37833 78362
    0.52553 24099 16329   0.31370 66458 77887
    0.79666 64774 13627   0.22238 10344 53375
    0.96028 98564 97536   0.10122 85362 90376
 9 
    0.00000 00000 00000   0.33023 93550 01260
    0.32425 34234 03809   0.31234 70770 40003
    0.61337 14327 00590   0.26061 06964 02935
    0.83603 11073 26636   0.18064 81606 94857
    0.96816 02395 07626   0.08127 43883 61575
10 
    0.14887 43389 81631   0.29552 42247 14753
    0.43339 53941 29247   0.26926 67193 09996
    0.67940 95682 99024   0.21908 63625 15982
    0.86506 33666 88985   0.14945 13491 50580
    0.97390 65285 17172   0.06667 13443 08688
11 
    0.00000 00000 00000   0.27292 50867 77901
    0.26954 31559 52345   0.26280 45445 10246
    0.51909 61292 06812   0.23319 37645 91991
    0.73015 20055 74049   0.18629 02109 27735
    0.88706 25997 68095   0.12558 03694 64905
    0.97822 86581 46056   0.05566 85671 16176
12 
    0.12523 34085 11469   0.24914 70458 13403
    0.36783 14989 98181   0.23349 25365 38355
    0.58731 79542 86618   0.20316 74267 23066
    0.76990 26741 94305   0.16007 83285 43346
    0.90411 72563 70475   0.10693 93259 95318
    0.98156 06342 46719   0.04717 53363 86511
15 
    0.00000 00000 00000   0.20257 82419 25561
    0.20119 40939 97435   0.19843 14853 27111
    0.39415 13470 77564   0.18616 10000 15562
    0.57097 21726 08539   0.16626 92058 16994
    0.72441 77313 60170   0.13957 06779 26154
    0.84820 65834 10428   0.10715 92204 67172
    0.93727 33924 00706   0.07036 60474 88108
    0.98799 25180 20485   0.03075 32419 96117
16 
    0.09501 25098 37638   0.18945 06104 55068
    0.28160 35507 79260   0.18260 34150 44923
    0.45801 67776 57228   0.16915 65193 95002
    0.61787 62444 02645   0.14959 59888 16576
    0.75540 44083 55004   0.12462 89712 55533
    0.86563 12023 87833   0.09515 85116 82492
    0.94457 50230 73233   0.06225 35239 38647
    0.98940 09349 91651   0.02715 24594 11751
20 
    0.07652 65211 33498   0.15275 33871 30726
    0.22778 58511 41647   0.14917 29864 72604
    0.37370 60887 15420   0.14209 61093 18382
    0.51086 70019 50827   0.13168 86384 49177
    0.63605 36807 26515   0.11819 45319 61518
    0.74633 19064 60151   0.10193 01198 17240
    0.83911 69718 22219   0.08.32 76741 57670
    0.91223 44282 51326   0.06.26 72048 33411
    0.96397 19272 77913   0.04.06 01429 80039
    0.99312 85991 85094   0.01.76 14007 13915
 
